"","id","dateSurvey","firstTime","sex","age","experience","degree","fellowsNumber","talentUseFull","ideaGen1","ideaGen2","ideaGen3","ideaSearch1","ideaSearch2","ideaSearch3","ideaCommunication1","ideaCommunication2","ideaCommunication3","ideaCommunication4","ideaImplementationStart1","ideaImplementationStart2","ideaImplementationStart3","ideaInvolvingOthers1","ideaInvolvingOthers2","ideaInvolvingOthers3","overcomingObstacles1","overcomingObstacles2","overcomingObstacles3","overcomingObstacles4","innovationOutput1","innovationOutput2","innovationOutput3","jobSatisfaction","talentUseWish","supportManagerial1","supportManagerial2","supportManagerial3","supportManagerial4","supportManagerial5","supportOrganizational1","supportOrganizational2","supportOrganizational3","zeroSumMindset","talentUseOpportunity","satisfyValueSefRespect","satisfyValueSafety","satisfyValueWarmRelations","satisfyValueFulfillment","satisfyValueAccomplishment","satisfyValueBeingRespected","satisfyValueBelonging","satisfyValueJoy","wantValueMore","comment","job","ideaGen","ideaSearch","ideaCommunication","ideaImplementationStart","ideaInvolvingOthers","overcomingObstacles","innovationOutput","supportManagerial","supportOrganizational"
"1",2015516259,2025-03-24 22:37:31,"1","Female",51,12,"Spec",6,"0",1,7,7,5,4,4,7,5,7,5,3,1,5,5,5,3,3.5,3,3,5,3,7,7,5,"1",1,1,1,1,1,1,1,1,6,"0",5,0,2,1,5,1,1,5,"satisfyValueBeingRespected","","jobNurse",5,7,6,3,4.33333333333333,3,5.66666666666667,1,1
"2",2014829713,2025-03-24 12:12:18,"1","Male",38,12,"Spec",0,"0",7,7,7,5.66666666666667,6,6,7,7,7,7,1,1,6,7,7,7,4.5,4,3,4,3,1,5,1,"1",1,1,1,3,1,1,1,1,1,"0",5,0,0,1,1,0,0,1,"satisfyValueFulfillment","","jobDoctor",7,5,7,2.66666666666667,7,7,3,1.4,1
"3",2014854326,2025-03-24 12:28:00,"1","Male",41,17,"Spec",0,"1",6,4,4,5.33333333333333,5,5,4,4,5,4,2,2,4,4,4,4,3.5,3,3,4,5,4,4,5,"1",4,1,4,4,5,1,3,4,3,"0",4,0,3,4,4,1,2,3,"satisfyValueSafety","По последнему вопросу: я внедряю новшества чтобы работа была легче и выполнена качественнее.","jobDoctor",4.66666666666667,6,4.25,2.66666666666667,4,4,4.33333333333333,3.6,2.66666666666667
"4",2014876884,2025-03-24 12:42:47,"1","Male",27,3,"Spec",0,"0",2,5,7,6.66666666666667,6,7,6,7,6,3,2,1,4,4,5,3,2.75,3,3,2,3,1,5,5,"1",5,1,4,5,4,1,1,2,4,"0",4,3,5,4,4,3,4,5,"satisfyValueFulfillment","","jobDoctor",4.66666666666667,7,5.5,2.33333333333333,4,3,3,3.8,1.33333333333333
"5",2014882597,2025-03-24 12:46:25,"1","Male",43,18,"PhD",5,"1",6,5,6,6.66666666666667,7,6,6,7,6,6,6,5,5,6,6,5,5.5,6,5,5,5,6,6,6,"1",6,4,5,5,5,5,5,4,3,"0",4,3,2,1,3,2,0,1,"satisfyValueJoyProcessAndAccomplishment","","jobChief",5.66666666666667,7,6.25,5.33333333333333,5.66666666666667,6,5.66666666666667,5,4.66666666666667
"6",2014901083,2025-03-24 12:58:16,"1","Male",29,3,"Spec",0,"1",3,6,6,7,7,7,5,5,6,6,6,5,6,6,6,5,3.75,4,3,5,5,5,4,6,"1",5,4,4,5,6,5,3,2,3,"0",4,1,2,3,4,2,4,3,"satisfyValueFulfillment","","jobDoctor",5,7,5.5,5.66666666666667,5.66666666666667,3,4.66666666666667,4.8,3.33333333333333
"7",2014918912,2025-03-24 13:09:27,"1","Male",26,1,"Spec",1,"1",6,6,6,7,7,7,6,6,6,6,4,3,6,4,6,6,5,4,4,6,5,5,5,4,"1",6,3,5,6,6,2,2,1,3,"0",5,3,5,5,5,4,4,4,"satisfyValueSefRespect","","jobChief",6,7,6,4.33333333333333,5.33333333333333,6,5,5.2,1.66666666666667
"8",2014934800,2025-03-24 13:19:21,"1","Male",34,8,"Spec",0,"0",6,6,7,7,7,7,7,7,7,7,5,1,7,5,5,5,5.25,5,6,5,6,5,5,4,"1",1,1,1,1,1,1,1,1,6,"0",5,4,4,4,5,5,5,5,"satisfyValueFulfillment","","jobDoctor",6.33333333333333,7,7,4.33333333333333,5,5,5.33333333333333,1,1
"9",2014949716,2025-03-24 13:28:33,"1","Male",42,11,"Spec",0,"0",6,5,5,5,4,5,6,7,6,5,6,4,4,4,6,5,5,5,5,5,4,3,3,5,"1",3,5,5,4,6,6,4,3,4,"1",4,4,2,3,3,2,3,1,"satisfyValueSafety","","jobDoctor",5.33333333333333,6,6,4.66666666666667,5,5,3.33333333333333,4.6,4.33333333333333
"10",2014969808,2025-03-24 13:41:00,"1","Male",27,4,"Spec",0,"0",3,6,3,5.66666666666667,7,7,3,2,4,3,3,3,3,2,2,2,2.5,3,3,2,1,1,4,3,"1",1,1,1,1,1,1,1,1,6,"0",0,0,0,0,0,0,0,0,"satisfyValueSafety","","jobDoctor",4,3,3,3,2,2,2,1,1
